"pressure","temperature","specific_volume_liquid","specific_volume_gas","internal_energy_liquid","internal_energy_gas","enthalpy_liquid","vaporization","enthalpy_gas","entropy_liquid","entropy_gas"
0.00611,0.01,0.0010002,206.136,0.00,2375.3,0.01,2501.3,2501.4,0.0000,9.1562
0.00813,4,0.0010001,157.232,16.77,2380.9,16.78,2491.9,2508.7,0.0610,9.0514
0.00872,5,0.0010001,147.12,20.97,2382.3,20.98,2489.6,2510.6,0.0761,9.0257
0.00935,6,0.0010001,137.734,25.19,2383.6,25.20,2487.2,2512.4,0.0912,9.0003
0.01072,8,0.0010002,120.917,33.59,2386.4,33.60,2482.5,2516.1,0.1212,8.9501
0.01228,10,0.0010004,106.379,42.00,2389.2,42.01,2477.7,2519.8,0.1510,8.9008
0.01312,11,0.0010004,99.857,46.20,2390.5,46.20,2475.4,2521.6,0.1658,8.8765
0.01402,12,0.0010005,93.784,50.41,2391.9,50.41,2473.0,2523.4,0.1806,8.8524
0.01497,13,0.0010007,88.124,54.60,2393.3,54.60,2470.7,2525.3,0.1953,8.8285
0.01598,14,0.0010008,82.848,58.79,2394.7,58.80,2468.3,2527.1,0.2099,8.8048
0.01705,15,0.0010009,77.926,62.99,2396.1,62.99,2465.9,2528.9,0.2245,8.7814
0.01818,16,0.0010011,73.333,67.18,2397.4,67.19,2463.6,2530.8,0.2390,8.7582
0.01938,17,0.0010012,69.044,71.38,2398.8,71.38,2461.2,2532.6,0.2535,8.7351
0.02064,18,0.0010014,65.038,75.57,2400.2,75.58,2458.8,2534.4,0.2679,8.7123
0.02198,19,0.0010016,61.293,79.76,2401.6,79.77,2456.5,2536.2,0.2823,8.6897
0.02339,20,0.0010018,57.791,83.95,2402.9,83.96,2454.1,2538.1,0.2966,8.6672
0.02487,21,0.0010020,54.514,88.14,2404.3,88.14,2451.8,2539.9,0.3109,8.6450
0.02645,22,0.0010022,51.447,92.32,2405.7,92.33,2449.4,2541.7,0.3251,8.6229
0.0281,23,0.0010024,48.574,96.51,2407.0,96.52,2447.0,2543.5,0.3393,8.6011
0.02985,24,0.0010027,45.883,100.70,2408.4,100.70,2444.7,2545.4,0.3534,8.5794
0.03169,25,0.0010029,43.36,104.88,2409.8,104.89,2442.3,2547.2,0.3674,8.5580
